end_timestamp,start_timestamp,transcript
507.655,506.49499999999995,hello
535.113,532.413,bread
539.127,536.0269999999999,you must eat daily basis
576.057,569.097,there's a gas lettuce it's the vegetable that's grown and used to eat the humans
578.99,577.82,it's food
607.409,596.629,apple fruit yeah
623.841,619.341,food tomato a vegetable
655.664,648.414,text mug that is used to drink something with started drinking it and then we drink
658.456,656.4060000000001,it holds liquid
674.853,668.2629999999999,ball whatever you like food most of the time
677.681,676.171,you cannot get the ball
709.99,705.8100000000001,Alice bread lettuce and tomato
711.794,710.4739999999999,and water
